tid,lat,lon,speed,course,alt
5380000,6343678,1040109,0,17807,1270
5380100,6343678,1040109,0,17807,1270
5380200,6343678,1040109,0,17807,1270
5380300,6343678,1040109,0,17807,1270
5380400,6343678,1040109,0,17807,1270
5380500,6343678,1040109,0,17807,1270
5380600,6343678,1040109,0,17807,1270
5380700,6343678,1040109,0,17807,1270
5380900,6343678,1040109,0,17807,1270
5381000,6343678,1040109,0,17807,1270
5381100,6343678,1040109,0,17807,1270
5381200,6343678,1040109,0,17807,1270
5381300,6343678,1040109,0,17807,1270
5381400,6343678,1040109,0,17807,1270
5381500,6343678,1040109,0,17807,1270
5381600,6343678,1040109,0,17807,1270
5381700,6343678,1040109,0,17807,1270
5381800,6343678,1040109,0,17807,1270
5381900,6343678,1040109,0,17807,1270
5382000,6343678,1040109,0,17807,1270
5382100,6343678,1040109,0,17807,1270
5382200,6343678,1040109,0,17807,1270
5382300,6343678,1040109,0,17807,1270
5382400,6343678,1040109,0,17807,1270
5382500,6343678,1040109,0,17807,1270
5382600,6343678,1040109,0,17807,1270
5382700,6343678,1040109,0,17807,1270
5382800,6343678,1040109,0,17807,1270
5382900,6343678,1040109,0,17807,1270
5383000,6343678,1040109,0,17807,1270
5383100,6343678,1040109,0,17807,1270
5383200,6343678,1040109,0,17807,1270
5383300,6343678,1040109,0,17807,1270
5383400,6343678,1040109,0,17807,1270
5383500,6343678,1040109,0,17807,1270
5383600,6343678,1040109,0,17807,1270
5383700,6343678,1040109,0,17807,1270
5383800,6343678,1040109,0,17807,1270
5383900,6343678,1040109,0,17807,1270
5384000,6343678,1040109,0,17807,1270
5384100,6343678,1040109,0,17807,1270
5384200,6343678,1040109,0,17807,1270
5384300,6343678,1040109,0,17807,1270
5384400,6343678,1040109,0,17807,1270
5384500,6343678,1040109,0,17807,1270
5384600,6343678,1040109,0,17807,1270
5384700,6343678,1040109,0,17807,1270
5384800,6343678,1040109,0,17807,1270
5384900,6343675,1040134,306,8074,1950
5385000,6343675,1040137,341,8043,1950
5385100,6343676,1040141,372,8048,1950
5385200,6343676,1040145,404,8040,1940
5385300,6343676,1040149,438,7993,1940
5385400,6343677,1040154,469,8017,1940
5385500,6343677,1040159,502,8055,1940
5385600,6343677,1040164,538,8026,1940
5385700,6343678,1040170,591,8022,1940
5385800,6343678,1040176,641,8046,1940
5385900,6343679,1040183,693,8040,1940
5390000,6343679,1040190,740,8034,1940
5390100,6343680,1040198,785,8050,1950
5390200,6343681,1040206,831,8032,1950
5390300,6343681,1040215,889,7809,1920
5390400,6343682,1040224,906,8076,1920
5390500,6343683,1040233,936,8101,1910
5390600,6343683,1040243,977,8071,1920
5390700,6343684,1040253,1006,8070,1920
5390800,6343685,1040263,1037,8058,1930
5390900,6343686,1040274,1066,8079,1930
5391000,6343686,1040285,1094,8131,1940
5391100,6343687,1040297,1120,8196,1950
5391200,6343688,1040308,1145,8271,1960
5391300,6343689,1040320,1169,8310,1970
5391400,6343689,1040332,1190,8367,1980
5391500,6343690,1040345,1212,8408,1990
5391600,6343690,1040357,1232,8462,2000
5391700,6343691,1040370,1255,8516,2010
5391800,6343691,1040383,1278,8567,2020
5391900,6343692,1040396,1300,8622,2030
5392000,6343692,1040410,1319,8630,2040
5392100,6343693,1040424,1341,8679,2050
5392200,6343693,1040438,1363,8650,2070
