tid,lat,lon,speed,course,alt
5380000,6343686,1040079,0,0,960
5380100,6343686,1040079,0,0,960
5380200,6343686,1040079,0,0,960
5380300,6343686,1040079,0,0,960
5380400,6343686,1040079,0,0,960
5380500,6343686,1040079,0,0,960
5380600,6343686,1040079,0,0,960
5380700,6343686,1040079,0,0,960
5380800,6343686,1040079,0,0,960
5380900,6343686,1040079,0,0,960
5381000,6343686,1040079,0,0,960
5381100,6343686,1040079,0,0,960
5381200,6343686,1040079,0,0,960
5381300,6343686,1040079,0,0,960
5381400,6343686,1040079,0,0,960
5381500,6343686,1040079,0,0,960
5381600,6343686,1040079,0,0,960
5381800,6343686,1040079,0,0,960
5381800,6343686,1040079,0,0,960
5382000,6343686,1040079,0,0,960
5382100,6343686,1040079,0,0,960
5382300,6343686,1040079,0,0,960
5382400,6343686,1040079,0,0,960
5382500,6343686,1040079,0,0,960
5382700,6343686,1040079,0,0,960
5382800,6343686,1040079,0,0,960
5382900,6343686,1040079,0,0,960
5383000,6343686,1040079,0,0,960
5383200,6343686,1040079,0,0,960
5383300,6343686,1040079,0,0,960
5383400,6343686,1040079,0,0,960
5383600,6343686,1040079,0,0,960
5383700,6343686,1040079,0,0,960
5383800,6343686,1040079,0,0,960
5384000,6343686,1040079,0,0,960
5384100,6343686,1040079,0,0,960
5384300,6343686,1040079,0,0,960
5384400,6343686,1040079,0,0,960
5384500,6343686,1040079,0,0,960
5384600,6343686,1040079,0,0,960
5384800,6343686,1040079,0,0,960
5384900,6343686,1040079,0,0,960
5385000,6343686,1040079,0,0,960
5385200,6343686,1040079,0,0,960
5385300,6343686,1040079,0,0,960
5385500,6343686,1040079,0,0,960
5385600,6343686,1040079,0,0,960
5385700,6343686,1040079,0,0,960
5385800,6343686,1040079,0,0,960
5390000,6343686,1040079,0,0,960
5390100,6343686,1040079,0,0,960
5390300,6343686,1040079,0,0,960
5390400,6343686,1040079,0,0,960
5390500,6343686,1040079,0,0,960
5390700,6343686,1040079,0,0,960
5390800,6343686,1040079,0,0,960
5390900,6343686,1040079,0,0,960
5391000,6343686,1040079,0,0,960
5391200,6343686,1040079,0,0,960
5391300,6343686,1040079,0,0,960
5391500,6343686,1040079,0,0,960
5391600,6343686,1040079,0,0,960
5391700,6343686,1040079,0,0,960
5391700,6343686,1040079,0,0,960
5391900,6343688,1040096,0,0,1210
5392000,6343688,1040099,0,0,1210
5392100,6343688,1040102,0,0,1210
5392200,6343689,1040106,0,0,1210
5392300,6343689,1040110,405,7981,1210
5392400,6343689,1040115,405,7981,1210
5392500,6343690,1040120,486,8034,1200
5392600,6343690,1040126,531,7996,1200
5392700,6343691,1040132,531,7996,1200
5392800,6343691,1040138,654,8033,1200
5392900,6343692,1040145,697,8010,1200
5393000,6343692,1040153,739,8044,1200
5393100,6343693,1040160,739,8044,1200
5393200,6343693,1040168,779,8058,1200
5393300,6343694,1040177,851,8051,1200
5393400,6343695,1040186,885,8105,1200
5393500,6343695,1040195,919,8106,1200
5393600,6343696,1040205,950,8152,1200
5393700,6343697,1040214,950,8152,1200
5393800,6343697,1040225,1008,8314,1200
5393900,6343698,1040235,1031,8406,1200
5394000,6343698,1040246,1051,8464,1200
5394100,6343699,1040257,1070,8502,1200
5394200,6343699,1040268,1070,8502,1200
5394300,6343699,1040279,1110,8628,1210
5394400,6343700,1040291,1125,8660,1210
5394500,6343700,1040302,1144,8662,1210
5394600,6343700,1040314,1160,8647,1220
5394700,6343700,1040326,1160,8647,1220
5394800,6343701,1040339,1192,8654,1230
5394900,6343701,1040351,1205,8645,1230
5395000,6343701,1040363,1220,8648,1240
5395100,6343702,1040376,1231,8633,1240
5395200,6343702,1040389,1244,8642,1250
5395300,6343702,1040402,1253,8707,1250
5395400,6343703,1040415,1264,8905,1260
5395500,6343703,1040428,1272,8987,1260
5395600,6343703,1040441,1286,9179,1260
5395700,6343702,1040454,1300,9255,1270
5395800,6343702,1040468,1319,9343,1270
5395900,6343702,1040482,1338,9275,1270
5400000,6343701,1040496,1363,9287,1280
5400100,6343701,1040510,1385,9283,1280
5400200,6343701,1040524,1407,9266,1290
5400300,6343700,1040539,1429,9281,1290
5400400,6343700,1040554,1447,9366,1300
5400500,6343700,1040569,1466,9292,1310
5400600,6343699,1040584,1482,9285,1320
5400700,6343699,1040599,1494,9262,1330
5400800,6343699,1040615,1511,9105,1330
5400900,6343699,1040630,1525,8865,1330
5401000,6343699,1040646,1537,8599,1330
5401100,6343699,1040662,1552,8646,1360
5401200,6343700,1040678,1567,8646,1360
5401300,6343700,1040694,1575,8680,1370
5401400,6343701,1040711,1593,8650,1370
5401600,6343702,1040744,1617,8643,1370
5401700,6343702,1040761,1635,8638,1370
5401800,6343702,1040778,1656,8656,1370
5402000,6343703,1040813,1698,8649,1370
5402100,6343704,1040831,1719,8655,1370
5402200,6343704,1040849,1719,8655,1370
5402200,6343704,1040849,1768,8672,1370
5402400,6343705,1040886,1785,8655,1370
5402500,6343706,1040905,1785,8655,1370
5402600,6343706,1040924,1785,8655,1370
5402700,6343707,1040943,1785,8655,1370
5402800,6343707,1040963,1893,8657,1370
5402900,6343708,1040983,1921,8644,1370
5403000,6343708,1041003,1947,8647,1370
5403100,6343709,1041024,1975,8676,1360
5403200,6343709,1041044,1975,8676,1360
5403300,6343710,1041065,2040,8659,1360
5403400,6343711,1041086,2064,8655,1360
5403500,6343711,1041108,2064,8655,1360
5403600,6343712,1041129,2111,8669,1360
5403700,6343712,1041151,2111,8669,1360
5403800,6343713,1041173,2142,8741,1400
5403900,6343713,1041196,2180,8663,1410
5404000,6343714,1041218,2203,8675,1410
5404100,6343715,1041241,2226,8671,1410
5404200,6343715,1041264,2226,8671,1410
5404300,6343716,1041287,2267,8660,1430
5404400,6343716,1041311,2285,8685,1430
5404500,6343717,1041334,2301,8674,1460
5404600,6343718,1041358,2320,8611,1470
5404700,6343718,1041382,2320,8611,1470
5404800,6343719,1041407,2368,8676,1420
5404900,6343720,1041431,2376,8580,1410
5405000,6343721,1041455,2371,8459,1460
5405100,6343722,1041480,2409,8570,1450
5405200,6343722,1041505,2433,8550,1440
5405300,6343723,1041530,2456,8568,1430
5405400,6343724,1041556,2483,8559,1420
5405500,6343725,1041581,2511,8532,1410
5405600,6343726,1041607,2537,8506,1400
5405700,6343727,1041634,2563,8481,1400
5405800,6343728,1041660,2594,8454,1390
5405900,6343729,1041687,2624,8450,1380
5410000,6343730,1041714,2655,8446,1370
5410100,6343732,1041742,2689,8436,1360
5410200,6343733,1041769,2723,8440,1360
5410300,6343734,1041797,2751,8424,1360
5410400,6343735,1041826,2791,8444,1350
5410500,6343737,1041855,2830,8440,1340
5410600,6343738,1041884,2872,8438,1330
5410700,6343739,1041914,2923,8445,1310
5410800,6343741,1041944,2968,8406,1300
5410900,6343742,1041975,3027,8365,1280
5411000,6343744,1042006,3076,8250,1280
5411100,6343746,1042038,3128,8179,1280
5411200,6343748,1042070,3179,8018,1280
5411300,6343751,1042103,3225,7889,1300
5411400,6343754,1042136,3272,7737,1300
5411500,6343757,1042169,3319,7588,1300
5411600,6343761,1042202,3369,7441,1350
5411700,6343766,1042236,3410,7276,1370
5411900,6343776,1042303,3453,7108,1400
5412000,6343782,1042337,3489,6946,1410
5412100,6343788,1042371,3525,6779,1430
5412200,6343795,1042404,3562,6651,1450
5412200,6343795,1042404,3583,6463,1450
5412400,6343811,1042471,3618,6274,1490
5412500,6343819,1042503,3618,6274,1500
5412600,6343828,1042536,3618,6274,1520
5412700,6343837,1042569,3618,6274,1540
5412800,6343847,1042601,3744,5745,1560
5412900,6343856,1042634,3776,5709,1590
5413000,6343866,1042667,3806,5711,1610
5413100,6343875,1042701,3863,5793,1640
5413200,6343885,1042735,3863,5793,1680
5413300,6343894,1042769,3909,5920,1720
5413400,6343903,1042804,3933,6008,1750
5413500,6343912,1042840,3933,6008,1780
5413600,6343921,1042876,3976,6163,1800
5413700,6343930,1042912,3976,6163,1820
5413800,6343938,1042949,4020,6315,1840
5413900,6343947,1042986,4042,6398,1870
5414000,6343955,1043024,4065,6467,1890
5414100,6343963,1043062,4090,6551,1920
5414200,6343971,1043101,4090,6551,1950
5414300,6343978,1043140,4134,6750,1970
5414400,6343985,1043179,4151,6828,2010
5414500,6343992,1043219,4172,6948,2040
5414600,6343999,1043260,4190,7019,2070
5414700,6344005,1043301,4190,7019,2100
5414800,6344011,1043342,4222,7179,2120
5414900,6344017,1043384,4242,7275,2140
5415000,6344023,1043426,4256,7366,2160
5415100,6344029,1043468,4277,7441,2190
5415200,6344034,1043511,4298,7528,2210
5415300,6344039,1043554,4317,7615,2230
5415400,6344043,1043597,4337,7702,2260
5415500,6344048,1043641,4359,7795,2280
5415600,6344052,1043686,4373,7889,2310
5415700,6344055,1043730,4389,7980,2350
5415800,6344059,1043775,4411,8064,2370
5415900,6344062,1043820,4427,8160,2400
5420000,6344065,1043865,4445,8248,2430
5420100,6344067,1043911,4459,8340,2460
5420200,6344069,1043957,4477,8426,2490
5420300,6344071,1044003,4493,8529,2520
5420400,6344073,1044049,4506,8603,2540
5420500,6344074,1044096,4522,8695,2570
5420600,6344075,1044142,4533,8797,2610
5420700,6344075,1044189,4546,8884,2640
5420800,6344075,1044236,4567,8989,2680
5420900,6344075,1044283,4566,9076,2730
5421000,6344075,1044331,4576,9172,2780
5421100,6344074,1044378,4601,9249,2830
5421200,6344073,1044425,4611,9440,2900
5421300,6344071,1044473,4610,9441,2930
5421400,6344069,1044520,4630,9544,2970
5421500,6344067,1044568,4646,9644,3000
5421600,6344064,1044616,4665,9741,3000
5421700,6344061,1044664,4680,9845,3050
5421800,6344058,1044711,4696,9928,3080
5421900,6344054,1044759,4714,10026,3100
5422100,6344045,1044855,4709,10137,3150
5422200,6344040,1044903,4748,10229,3180
5422200,6344040,1044903,4755,10316,3180
5422400,6344029,1044998,4773,10415,3230
5422500,6344023,1045046,4773,10415,3260
5422600,6344017,1045093,4773,10415,3290
5422700,6344010,1045140,4773,10415,3320
5422800,6344003,1045187,4819,10818,3360
5422900,6343995,1045234,4830,10910,3390
5423000,6343987,1045281,4842,11006,3420
5423100,6343979,1045328,4850,11106,3460
5423200,6343970,1045374,4850,11106,3490
5423300,6343961,1045420,4882,11401,3520
5423400,6343952,1045466,4894,11500,3560
5423500,6343942,1045512,4894,11500,3590
5423600,6343932,1045557,4911,11707,3620
5423700,6343921,1045602,4911,11707,3650
5423800,6343910,1045646,4924,11874,3690
5423900,6343899,1045691,4945,11980,3730
5424000,6343888,1045735,4936,12034,3790
5424100,6343876,1045778,4945,12115,3830
5424200,6343864,1045822,4945,12115,3870
