tid,lat,lon,speed,course,alt
5380000,6343674,1040070,0,0,1050
5380100,6343674,1040070,0,0,1050
5380200,6343674,1040070,0,0,1050
5380300,6343674,1040070,0,0,1050
5380400,6343674,1040070,0,0,1050
5380500,6343674,1040070,0,0,1050
5380600,6343673,1040087,302,7927,940
5380700,6343673,1040090,333,7953,940
5380800,6343674,1040094,397,7925,930
5380900,6343674,1040098,446,7935,930
5381000,6343674,1040103,516,7970,930
5381100,6343675,1040109,580,7965,930
5381200,6343675,1040115,646,7976,930
5381300,6343676,1040122,704,7997,930
5381400,6343676,1040129,766,7988,930
5381500,6343677,1040137,819,7997,930
5381600,6343678,1040146,868,8013,930
5381700,6343678,1040155,915,7994,930
5381800,6343679,1040165,955,7992,930
5381900,6343680,1040174,995,8008,940
5382000,6343681,1040185,1032,8010,940
5382100,6343681,1040195,1066,8015,940
5382200,6343682,1040206,1100,8005,950
5382300,6343683,1040218,1130,7988,950
5382400,6343684,1040230,1159,8012,950
5382500,6343685,1040241,1190,8008,960
5382600,6343686,1040254,1215,8039,960
5382700,6343687,1040266,1242,8040,960
5382800,6343688,1040279,1267,8043,970
5382900,6343689,1040292,1289,8098,970
5383000,6343690,1040305,1311,8185,970
5383100,6343690,1040319,1333,8274,980
5383200,6343691,1040333,1356,8315,990
5383300,6343692,1040347,1383,8392,990
5383400,6343692,1040361,1405,8415,1000
5383500,6343693,1040376,1426,8500,1000
5383600,6343694,1040391,1449,8553,1010
5383700,6343694,1040406,1468,8618,1010
5383800,6343695,1040421,1489,8613,1020
5383900,6343695,1040436,1509,8667,1030
5384000,6343695,1040452,1526,8636,1040
5384100,6343696,1040468,1546,8633,1050
5384200,6343696,1040484,1563,8635,1060
5384300,6343697,1040500,1578,8637,1070
5384400,6343697,1040517,1609,8656,1070
5384500,6343697,1040533,1613,8606,1080
5384600,6343698,1040550,1631,8607,1100
5384700,6343698,1040567,1646,8642,1110
5384800,6343699,1040584,1660,8620,1120
5384900,6343699,1040601,1675,8683,1130
5385000,6343700,1040619,1687,8653,1140
5385100,6343700,1040636,1701,8679,1140
5385200,6343701,1040654,1712,8666,1150
5385300,6343701,1040671,1726,8663,1160
5385400,6343701,1040689,1738,8655,1170
5385500,6343702,1040707,1752,8647,1180
5385600,6343702,1040725,1763,8629,1180
5385700,6343703,1040744,1782,8633,1180
5385800,6343703,1040762,1798,8635,1180
5385900,6343704,1040781,1818,8639,1180
5390000,6343704,1040800,1837,8659,1180
5390100,6343705,1040819,1857,8650,1180
5390200,6343705,1040838,1880,8666,1170
5390300,6343706,1040857,1896,8673,1170
5390400,6343706,1040877,1920,8647,1170
5390500,6343707,1040897,1943,8665,1170
5390600,6343707,1040917,1962,8658,1160
5390700,6343708,1040938,1984,8637,1160
5390800,6343708,1040958,2011,8654,1160
5390900,6343709,1040979,2018,8645,1150
5391000,6343709,1041000,2033,8662,1150
5391100,6343710,1041021,2044,8679,1150
5391200,6343710,1041042,2053,8680,1140
5391300,6343711,1041063,2062,8647,1140
5391400,6343712,1041084,2072,8669,1140
5391500,6343712,1041106,2077,8713,1150
5391600,6343713,1041127,2088,8685,1160
5391700,6343713,1041149,2094,8685,1170
5391800,6343714,1041170,2100,8665,1190
5391900,6343714,1041192,2107,8677,1200
5392000,6343715,1041214,2109,8684,1210
5392100,6343715,1041236,2113,8686,1220
5392200,6343716,1041257,2116,8672,1230
5392300,6343716,1041279,2114,8668,1250
5392400,6343717,1041301,2116,8653,1270
