tid,lat,lon,speed,course,alt
6380000,6343688,1040084,0,0,770
6380100,6343688,1040084,0,0,770
6380200,6343688,1040084,0,0,770
6380300,6343688,1040084,0,0,770
6380400,6343688,1040084,0,0,770
6380500,6343688,1040084,0,0,770
6380600,6343688,1040084,0,0,770
6380700,6343688,1040084,0,0,770
6380800,6343688,1040084,0,0,770
6380900,6343688,1040084,0,0,770
6381000,6343688,1040084,0,0,770
6381100,6343688,1040084,0,4200,770
6381200,6343687,1040097,292,7991,1010
6381300,6343687,1040100,333,8042,1010
6381400,6343687,1040103,375,8036,1020
6381500,6343688,1040107,375,8036,1020
6381600,6343688,1040111,451,8023,1030
6381700,6343688,1040116,487,8016,1030
6381800,6343689,1040121,521,8042,1040
6381900,6343689,1040127,571,7992,1040
6382000,6343690,1040133,571,7992,1050
6382100,6343690,1040139,651,8013,1050
6382200,6343691,1040146,692,8019,1050
6382300,6343691,1040153,733,8013,1060
6382400,6343692,1040161,772,8046,1060
6382500,6343692,1040169,772,8046,1060
6382600,6343693,1040177,843,8028,1070
6382700,6343694,1040186,875,8062,1070
6382800,6343694,1040195,908,8103,1070
6382900,6343695,1040204,939,8129,1070
6383000,6343696,1040214,939,8129,1070
6383100,6343696,1040224,998,8296,1080
6383200,6343697,1040234,1024,8370,1080
6383300,6343697,1040245,1045,8446,1090
6383400,6343698,1040256,1065,8501,1090
6383500,6343698,1040267,1065,8501,1100
6383600,6343699,1040278,1102,8599,1100
6383700,6343699,1040290,1120,8626,1100
6383800,6343699,1040301,1140,8652,1110
6383900,6343700,1040313,1157,8643,1110
6384000,6343700,1040325,1157,8643,1110
6384100,6343700,1040337,1187,8662,1120
6384200,6343701,1040349,1194,8660,1120
6384300,6343701,1040362,1203,8642,1120
6384400,6343701,1040374,1214,8647,1120
6384500,6343702,1040387,1214,8647,1120
6384600,6343702,1040400,1250,8684,1130
6384700,6343702,1040413,1275,8849,1130
6384800,6343702,1040426,1302,8966,1130
6384900,6343702,1040439,1322,9150,1130
6385000,6343702,1040453,1322,9150,1140
6385100,6343702,1040467,1368,9345,1140
6385200,6343701,1040481,1389,9275,1150
6385300,6343701,1040496,1410,9297,1150
6385400,6343701,1040511,1436,9282,1160
6385500,6343700,1040525,1454,9271,1170
6385600,6343700,1040541,1478,9283,1170
6385700,6343700,1040556,1494,9360,1180
6385800,6343699,1040571,1512,9287,1190
6385900,6343699,1040587,1529,9278,1200
6390000,6343698,1040603,1544,9301,1210
6390100,6343698,1040619,1558,9028,1220
6390200,6343698,1040635,1578,8798,1220
6390300,6343699,1040651,1587,8624,1220
6390400,6343699,1040668,1603,8646,1230
6390500,6343700,1040685,1620,8658,1230
6390600,6343700,1040701,1633,8665,1240
6390700,6343701,1040718,1653,8638,1230
6390800,6343701,1040735,1671,8646,1230
6390900,6343702,1040753,1688,8657,1230
6391000,6343702,1040770,1709,8645,1230
6391100,6343702,1040788,1728,8657,1230
6391200,6343703,1040806,1751,8642,1230
6391300,6343703,1040824,1774,8677,1220
6391400,6343704,1040842,1796,8665,1220
6391500,6343704,1040861,1820,8658,1220
6391600,6343705,1040880,1844,8653,1210
6391700,6343705,1040899,1872,8650,1210
6391800,6343706,1040918,1895,8665,1210
6391900,6343706,1040938,1923,8660,1210
6392000,6343707,1040958,1948,8651,1200
6392100,6343708,1040978,1974,8647,1200
6392200,6343708,1040999,2005,8675,1190
6392300,6343709,1041020,2032,8666,1190
6392400,6343709,1041041,2061,8675,1180
6392500,6343710,1041062,2089,8657,1170
6392600,6343710,1041084,2117,8671,1160
6392700,6343711,1041106,2134,8689,1160
6392800,6343711,1041128,2171,8692,1160
6392900,6343712,1041150,2188,8661,1160
6393000,6343712,1041173,2222,8770,1150
6393100,6343713,1041196,2241,8735,1130
6393200,6343713,1041219,2251,8699,1130
6393300,6343714,1041242,2269,8700,1130
6393400,6343715,1041266,2282,8676,1140
6393500,6343715,1041289,2298,8692,1140
6393600,6343716,1041313,2311,8692,1150
6393700,6343716,1041337,2326,8663,1160
6393800,6343717,1041361,2337,8629,1170
6393900,6343718,1041385,2354,8607,1180
6394000,6343719,1041409,2371,8578,1200
6394100,6343719,1041434,2396,8567,1200
6394200,6343720,1041459,2409,8611,1210
6394300,6343721,1041484,2455,8548,1210
6394400,6343722,1041509,2488,8559,1210
6394500,6343723,1041535,2526,8559,1200
6394600,6343724,1041561,2564,8557,1200
6394700,6343725,1041588,2606,8526,1200
6394800,6343726,1041615,2650,8502,1190
6394900,6343727,1041642,2696,8470,1180
6395000,6343728,1041670,2745,8462,1170
6395100,6343729,1041698,2792,8436,1170
6395200,6343731,1041727,2841,8445,1160
6395300,6343732,1041757,2894,8444,1150
6395400,6343733,1041787,2943,8443,1150
6395500,6343735,1041817,2990,8438,1140
6395600,6343736,1041848,3039,8444,1130
6395700,6343737,1041880,3089,8438,1120
6395800,6343739,1041912,3139,8440,1100
6395900,6343740,1041944,3187,8413,1090
6400000,6343742,1041977,3237,8358,1090
